mmu:11652	ec:2.7.11.1
mmu:23797	ec:2.7.11.1
mmu:53627	ec:2.3.1.250
mmu:56632	ec:2.7.1.91
mmu:19877	ec:2.7.11.1
mmu:67895	ec:3.6.1.1
mmu:72962	ec:2.4.2.4
mmu:12153	ec:3.4.24.19
mmu:13631	ec:2.7.11.20
mmu:71797	ec:2.8.2.5
mmu:23874	ec:6.1.1.20
mmu:22165	ec:2.7.10.2
mmu:96979	ec:5.3.99.3
mmu:14182	ec:2.7.10.1
mmu:14183	ec:2.7.10.1
mmu:14184	ec:2.7.10.1
mmu:14186	ec:2.7.10.1
mmu:12168	ec:2.7.11.30
mmu:21813	ec:2.7.11.30
mmu:110542	ec:2.7.11.30
mmu:12166	ec:2.7.11.30
mmu:21812	ec:2.7.11.30
mmu:11477	ec:2.7.11.30
mmu:20656	ec:1.15.1.1
mmu:66587	ec:2.7.11.8
mmu:85305	ec:6.1.1.6
mmu:53323	ec:2.3.2.23
mmu:74246	ec:5.1.3.2
mmu:319554	ec:5.3.3.2
mmu:353172	ec:6.1.1.14
mmu:70059	ec:1.14.19.17
mmu:70059	ec:1.14.18.5
mmu:26400	ec:2.7.12.2
mmu:26397	ec:2.7.12.2
mmu:26399	ec:2.7.12.2
mmu:26395	ec:2.7.12.2
mmu:26419	ec:2.7.11.24
mmu:26420	ec:2.7.11.24
mmu:19094	ec:2.7.11.24
mmu:29857	ec:2.7.11.24
mmu:26415	ec:2.7.11.24
mmu:68180	ec:5.3.1.22
mmu:66887	ec:3.4.21.53
mmu:78894	ec:6.2.1.16
mmu:12362	ec:3.4.22.36
mmu:12366	ec:3.4.22.55
mmu:12367	ec:3.4.22.56
mmu:12368	ec:3.4.22.59
mmu:18705	ec:2.7.1.154
mmu:18706	ec:2.7.1.153
mmu:18707	ec:2.7.1.153
mmu:18712	ec:2.7.11.1
mmu:14772	ec:2.7.11.16
mmu:14773	ec:2.7.11.16
mmu:105148	ec:6.1.1.5
mmu:11656	ec:2.3.1.37
mmu:17219	ec:3.6.4.12
mmu:12369	ec:3.4.22.60
mmu:12370	ec:3.4.22.61
mmu:12371	ec:3.4.22.62
mmu:22030	ec:2.3.2.27
mmu:19043	ec:3.1.3.16
mmu:19042	ec:3.1.3.16
mmu:23938	ec:2.7.12.2
mmu:23939	ec:2.7.11.24
mmu:53859	ec:2.7.11.25
mmu:18099	ec:2.7.11.24
mmu:107271	ec:6.1.1.1
mmu:16396	ec:2.3.2.26
mmu:17001	ec:4.4.1.20
mmu:22201	ec:6.2.1.45
mmu:22195	ec:2.3.2.23
mmu:56791	ec:2.3.2.23
mmu:140499	ec:2.3.2.23
mmu:22213	ec:2.3.2.23
mmu:50873	ec:2.3.2.31
mmu:75624	ec:3.4.11.18
mmu:18597	ec:1.2.4.1
mmu:72157	ec:5.4.2.2
mmu:26401	ec:2.7.11.25
mmu:338372	ec:2.7.11.25
mmu:269881	ec:2.7.11.25
mmu:26403	ec:2.7.11.25
mmu:26405	ec:2.7.11.25
mmu:26406	ec:2.7.11.25
mmu:26404	ec:2.7.11.25
mmu:53608	ec:2.7.11.25
mmu:26408	ec:2.7.11.25
mmu:26409	ec:2.7.11.25
mmu:26407	ec:2.7.11.25
mmu:110157	ec:2.7.11.1
mmu:17451	ec:2.7.11.1
mmu:26398	ec:2.7.12.2
mmu:16202	ec:2.7.11.1
mmu:19045	ec:3.1.3.16
mmu:19046	ec:3.1.3.16
mmu:19047	ec:3.1.3.16
mmu:19052	ec:3.1.3.16
mmu:19053	ec:3.1.3.16
mmu:12914	ec:2.3.1.48
mmu:78914	ec:6.3.5.1
mmu:12534	ec:2.7.11.22
mmu:12534	ec:2.7.11.23
mmu:12566	ec:2.7.11.22
mmu:12567	ec:2.7.11.22
mmu:12568	ec:2.7.11.22
mmu:12571	ec:2.7.11.22
mmu:12572	ec:2.7.11.22
mmu:12572	ec:2.7.11.23
mmu:235339	ec:2.3.1.12
mmu:11798	ec:2.3.2.27
mmu:66646	ec:5.1.3.1
mmu:107951	ec:2.7.11.22
mmu:107951	ec:2.7.11.23
mmu:21351	ec:2.2.1.2
mmu:56438	ec:2.3.2.32
mmu:66313	ec:2.3.2.26
mmu:75788	ec:2.3.2.26
mmu:16452	ec:2.7.10.2
mmu:59001	ec:2.7.7.7
mmu:66945	ec:1.3.5.1
mmu:18595	ec:2.7.10.1
mmu:18596	ec:2.7.10.1
mmu:12638	ec:3.6.3.49
mmu:18950	ec:2.4.2.1
mmu:21817	ec:2.3.2.13
mmu:21816	ec:2.3.2.13
mmu:21818	ec:2.3.2.13
mmu:331046	ec:2.3.2.13
mmu:74176	ec:2.3.2.13
mmu:241636	ec:2.3.2.13
mmu:117592	ec:2.4.1.134
mmu:54342	ec:2.3.1.4
mmu:14061	ec:3.4.21.5
mmu:18791	ec:3.4.21.68
mmu:18792	ec:3.4.21.73
mmu:26440	ec:3.4.25.1
mmu:216739	ec:6.2.1.3
mmu:17250	ec:7.6.2.3
mmu:69955	ec:6.1.1.20
mmu:18717	ec:2.7.1.68
mmu:18719	ec:2.7.1.68
mmu:18720	ec:2.7.1.68
mmu:28240	ec:3.6.1.13
mmu:16621	ec:3.4.21.34
mmu:109821	ec:3.4.21.27
mmu:14068	ec:3.4.21.21
mmu:14058	ec:3.4.21.6
mmu:19123	ec:3.4.21.69
mmu:17215	ec:3.6.4.12
mmu:56373	ec:3.4.17.20
mmu:50909	ec:3.4.21.41
mmu:317677	ec:3.4.21.42
mmu:56480	ec:2.7.11.10
mmu:211389	ec:1.8.3.1
mmu:225326	ec:2.7.1.137
mmu:72900	ec:7.1.1.2
mmu:72900	ec:1.6.99.3
mmu:66841	ec:1.5.5.1
mmu:108058	ec:2.7.11.17
mmu:12325	ec:2.7.11.17
